user_id,game_name,hours,purchase,play
126340495,Dota 2,1784.0,1,1
126340495,Counter-Strike Global Offensive,626.0,1,1
126340495,Counter-Strike Source,176.0,1,1
126340495,Rust,69.0,1,1
126340495,Saints Row IV,48.0,1,1
126340495,Team Fortress 2,16.1,1,1
126340495,Dead Island Riptide,13.6,1,1
126340495,Flatout 3,11.7,1,1
126340495,Garry's Mod,10.2,1,1
126340495,Counter-Strike Nexon Zombies,5.8,1,1
126340495,Outlast,4.1,1,1
126340495,Robocraft,2.3,1,1
126340495,Far Cry 3,2.2,1,1
126340495,Everlasting Summer,0.6000000000000001,1,1
126340495,Dead Island Epidemic,0.6000000000000001,1,1
126340495,War Thunder,0.3999999999999999,1,1
126340495,DCS World,0.30000000000000004,1,1
126340495,Fishing Planet,0.0,1,0
126340495,Cannons Lasers Rockets,0.0,1,0
126340495,Dragon Nest Europe,0.0,1,0
126340495,Loadout,0.0,1,0
126340495,Neverwinter,0.0,1,0
126340495,No More Room in Hell,0.0,1,0
126340495,Nosgoth,0.0,1,0
126340495,RIFT,0.0,1,0
126340495,Tactical Intervention,0.0,1,0
126340495,Unturned,0.0,1,0
126340495,Warframe,0.0,1,0
126340495,Zombies Monsters Robots,0.0,1,0
30007387,Half-Life 2 Deathmatch,0.0,1,0
30007387,Half-Life 2 Lost Coast,0.0,1,0
208649703,Counter-Strike Global Offensive,125.0,1,1
208649703,Counter-Strike Nexon Zombies,0.0,1,0
208649703,Clicker Heroes,0.0,1,0
208649703,Unturned,0.0,1,0
219509107,Dota 2,2.1,1,1
259648553,Mad Max,16.9,1,1
227944885,Dota 2,62.0,1,1
236557903,Team Fortress 2,2.0,1,1
236557903,S.K.I.L.L. - Special Force 2,0.8999999999999999,1,1
236557903,BLOCKADE 3D,0.30000000000000004,1,1
236557903,Counter-Strike Nexon Zombies,0.0,1,0
125718844,Dota 2,1.1,1,1
164543231,Garry's Mod,105.0,1,1
164543231,Team Fortress 2,30.0,1,1
164543231,No More Room in Hell,25.0,1,1
164543231,Unturned,14.9,1,1
164543231,Arma 2,10.9,1,1
164543231,Counter-Strike Global Offensive,7.4,1,1
164543231,Tactical Intervention,7.4,1,1
164543231,Robocraft,5.6,1,1
164543231,Saints Row The Third,3.4000000000000004,1,1
164543231,Heroes & Generals,2.0,1,1
164543231,Dota 2,0.3999999999999999,1,1
163617342,Dota 2,891.0,1,1
163617342,Counter-Strike Global Offensive,853.0,1,1
163617342,Heroes & Generals,3.3,1,1
163617342,Loadout,3.0999999999999996,1,1
163617342,Fishing Planet,1.9,1,1
163617342,World of Guns Gun Disassembly,0.8,1,1
163617342,sZone-Online,0.8,1,1
163617342,Quake Live,0.19999999999999996,1,1
163617342,Fractured Space,0.19999999999999996,1,1
163617342,Soccer Manager 2016,0.0,1,0
163617342,Cry of Fear,0.0,1,0
163617342,Dead Island Epidemic,0.0,1,0
163617342,Fistful of Frags,0.0,1,0
163617342,Gotham City Impostors Free To Play,0.0,1,0
163617342,No More Room in Hell,0.0,1,0
163617342,Ragnarok,0.0,1,0
163617342,Ragnarok Online 2,0.0,1,0
163617342,Survarium,0.0,1,0
163617342,theHunter,0.0,1,0
163617342,Tom Clancy's Ghost Recon Phantoms - EU,0.0,1,0
163617342,Tribes Ascend,0.0,1,0
163617342,Velvet Assassin,0.0,1,0
165034415,Dota 2,3.5999999999999996,1,1
157694162,Dota 2,2.0,1,1
202742019,Sleeping Dogs,104.0,1,1
202742019,Mortal Kombat Komplete Edition,6.3,1,1
202742019,Call of Duty Advanced Warfare,1.5,1,1
202742019,Call of Duty Advanced Warfare - Multiplayer,0.0,1,0
300601393,Counter-Strike Global Offensive,13.4,1,1
300601393,Euro Truck Simulator 2,12.0,1,1
303032390,XCOM Enemy Unknown,110.0,1,1
150965343,Dota 2,5.3,1,1
136246724,Dota 2,0.19999999999999996,1,1
307949159,MechWarrior Online,0.0,1,0
272820556,Sleeping Dogs,0.7,1,1
272820556,Deus Ex Human Revolution - Director's Cut,0.0,1,0
272820556,Hitman Absolution,0.0,1,0
272820556,Kane & Lynch 2 Dog Days,0.0,1,0
272820556,Kane & Lynch Dead Men,0.0,1,0
272820556,Lara Croft and the Guardian of Light,0.0,1,0
272820556,MURDERED SOUL SUSPECT,0.0,1,0
272820556,Startopia,0.0,1,0
272820556,Supreme Commander 2,0.0,1,0
272820556,Thief,0.0,1,0
272820556,Tomb Raider,0.0,1,0
63276972,Prison Architect,100.0,1,1
63276972,Don't Starve,88.0,1,1
63276972,Sid Meier's Civilization V,79.0,1,1
63276972,Banished,72.0,1,1
63276972,Cities Skylines,39.0,1,1
63276972,Democracy 3,14.7,1,1
63276972,Rust,13.4,1,1
63276972,This War of Mine,12.8,1,1
63276972,Tropico 5,9.9,1,1
63276972,AdVenture Capitalist,5.4,1,1
63276972,Left 4 Dead 2,3.5999999999999996,1,1
63276972,Half-Life 2,3.4000000000000004,1,1
63276972,Surgeon Simulator,3.3,1,1
63276972,"Papers, Please",1.9,1,1
63276972,Portal,0.19999999999999996,1,1
63276972,Life Is Strange,0.19999999999999996,1,1
63276972,Don't Starve Together Beta,0.0,1,0
63276972,Half-Life 2 Lost Coast,0.0,1,0
63276972,Left 4 Dead,0.0,1,0
63276972,Oil Rush,0.0,1,0
63276972,Section 8,0.0,1,0
183005527,Dota 2,6.4,1,1
87445402,Fallout 4,83.0,1,1
87445402,Risen 2 - Dark Waters,31.0,1,1
