user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
,0,0,0
151603712.0,0,0,6
187131847.0,0,0,0
59945701.0,0,0,7
53875128.0,0,1,81
140954425.0,0,0,0
26122540.0,0,0,2
176410694.0,0,0,0
197278511.0,0,0,0
150128162.0,0,0,0
197455089.0,0,0,0
63024728.0,0,0,0
297811211.0,0,0,1
218323237.0,0,0,0
302186258.0,0,0,0
126340495.0,0,0,5
256193015.0,0,0,0
194895541.0,0,0,0
30007387.0,0,0,0
159538705.0,0,0,0
167362888.0,0,0,0
208649703.0,0,0,1
299889828.0,0,0,1
225987202.0,0,0,0
195071563.0,0,0,0
308653033.0,0,0,1
144138643.0,0,0,0
197902002.0,0,0,0
97298878.0,0,0,10
173909336.0,0,0,1
198572546.0,0,0,0
219509107.0,0,0,0
202906503.0,0,0,0
92107940.0,0,0,0
251431515.0,0,0,0
233558010.0,0,0,0
99189757.0,0,0,0
30695285.0,1,1,1
259648553.0,0,0,0
48845802.0,0,0,2
226212066.0,0,0,1
221430493.0,0,0,1
62923086.0,0,0,1
250006052.0,0,0,2
65117175.0,0,0,22
227944885.0,0,0,0
144004384.0,0,0,0
236557903.0,0,0,0
11373749.0,0,1,83
140293612.0,0,0,0
187851224.0,0,0,0
192921532.0,0,0,0
54103616.0,0,1,8
222277839.0,0,0,0
298547051.0,0,0,0
264253640.0,0,0,4
125718844.0,0,0,0
280061602.0,0,0,0
38763767.0,0,0,0
164543231.0,0,0,3
211277578.0,0,0,0
163617342.0,0,0,5
295931968.0,0,0,0
196354657.0,0,0,0
165034415.0,0,0,0
298389371.0,0,0,1
27543430.0,0,0,0
126640783.0,0,0,0
243440565.0,0,0,1
157694162.0,0,0,0
154868247.0,0,0,0
263856756.0,0,0,2
124395695.0,0,0,0
126656629.0,0,0,0
197821092.0,0,0,0
294797577.0,0,0,0
228507886.0,0,0,0
272425320.0,0,0,0
49769103.0,0,0,3
202742019.0,0,0,1
239397807.0,0,0,0
239921853.0,0,0,2
300601393.0,0,0,0
109278470.0,0,0,1
197509386.0,0,0,0
92842632.0,0,0,1
103973922.0,0,0,1
5270060.0,0,0,5
171847029.0,0,0,6
111479516.0,0,0,0
64350600.0,0,1,7
117217039.0,0,0,1
208164637.0,0,0,1
93085014.0,0,0,0
